source,target,verb,name,doc_id
0,503,use,USE,2425
1,22,regulate,REGULATE,2425
2,504,require,OBLIGATE,2052
3,505,develop,DEVELOP,385
4,505,develop,DEVELOP,385
5,506,prohibit,RESTRICT,1553
6,93,require,OBLIGATE,1550
3,508,develop,DEVELOP,2401
12,509,govern,REGULATE,2415
16,513,use,USE,2359
17,514,authorize,AUTHORIZE,2359
18,514,authorize,AUTHORIZE,2359
19,515,establish,DEVELOP,2419
20,517,establish,DEVELOP,2419
22,518,use,USE,2346
29,22,use,USE,2408
30,396,ensure,REGULATE,2312
30,520,facilitate,SUPPORT,2312
33,521,develop,DEVELOP,2531
34,22,involve,COORDINATE,2531
8,522,outline,REPORT,2533
8,523,evaluate,EVALUATE,1751
42,523,evaluate,EVALUATE,1751
43,523,evaluate,EVALUATE,1751
45,44,establish,DEVELOP,1739
46,44,establish,DEVELOP,1739
8,524,expand,DEVELOP,1755
8,525,evaluate,EVALUATE,1742
49,518,protect,REGULATE,1379
51,526,apply,IMPLEMENT,1816
52,527,use,USE,1806
53,528,track,EVALUATE,1806
54,530,carry,IMPLEMENT,839
55,530,carry,IMPLEMENT,839
58,22,coordinate,COORDINATE,1064
60,336,require,OBLIGATE,1658
62,22,oversee,REGULATE,2267
63,22,adopt,DEVELOP,2267
64,535,develop,DEVELOP,2268
64,536,establish,DEVELOP,2268
4,537,use,USE,2301
67,539,establish,DEVELOP,2336
69,518,protect,REGULATE,2347
70,541,use,USE,2347
73,57,direct,OBLIGATE,2047
74,57,direct,OBLIGATE,2047
75,57,direct,OBLIGATE,2047
76,542,establish,DEVELOP,2047
77,57,direct,OBLIGATE,2047
78,57,direct,OBLIGATE,2047
78,543,ensure,REGULATE,2047
3,10,obligate,OBLIGATE,1203
10,466,develop,DEVELOP,1203
10,544,update,REPORT,1203
3,56,require,OBLIGATE,904
79,545,create,DEVELOP,2245
80,22,ensure,REGULATE,2252
80,518,protect,REGULATE,2252
81,546,instruct,OBLIGATE,2248
82,506,assess,EVALUATE,2248
83,547,implement,IMPLEMENT,2146
57,85,direct,OBLIGATE,2250
57,548,establish,DEVELOP,2250
85,548,establish,DEVELOP,2250
89,549,mandate,OBLIGATE,2249
89,549,require,OBLIGATE,2249
83,547,create,DEVELOP,2145
83,550,impose,OBLIGATE,2145
90,22,review,EVALUATE,2210
91,551,create,DEVELOP,2089
92,551,create,DEVELOP,2089
93,552,file,REPORT,2270
94,554,encourage,SUPPORT,2159
95,554,encourage,SUPPORT,2159
96,554,encourage,SUPPORT,2159
97,555,require,OBLIGATE,2111
98,556,require,OBLIGATE,2269
50,180,instruct,OBLIGATE,2127
2,180,instruct,OBLIGATE,2127
100,560,establish,DEVELOP,2239
101,561,convene,COORDINATE,2189
102,101,instruct,OBLIGATE,2189
106,108,instruct,OBLIGATE,2264
107,108,instruct,OBLIGATE,2264
108,562,implement,IMPLEMENT,2264
109,563,require,OBLIGATE,2264
27,564,advance,SUPPORT,660
114,115,empower,AUTHORIZE,1052
114,565,enforce,REGULATE,1052
115,565,enforce,REGULATE,1052
16,566,mandate,OBLIGATE,1829
116,567,protect,REGULATE,2021
116,568,update,REPORT,2021
117,569,ensure,REGULATE,2021
117,22,track,EVALUATE,2021
118,570,establish,DEVELOP,2074
119,22,develop,DEVELOP,2074
120,571,create,DEVELOP,2062
120,22,oversee,REGULATE,2062
121,572,require,OBLIGATE,2062
122,22,report,REPORT,2058
123,22,report,REPORT,2058
124,573,establish,DEVELOP,2050
124,470,utilize,USE,2050
125,574,maintain,IMPLEMENT,2068
126,575,maintain,IMPLEMENT,2067
126,576,use,USE,2067
127,577,establish,DEVELOP,2070
128,577,establish,DEVELOP,2070
