source,target,relationship,label
0,749,appropriate,AUTHORIZE
0,750,use,USE
1,46,adopt,DEVELOP
2,46,regulate,REGULATE
4,3,require,OBLIGATE
10,755,develop,DEVELOP
11,755,develop,DEVELOP
17,761,prohibit,RESTRICT
19,18,require,OBLIGATE
20,40,empower,AUTHORIZE
21,22,require,OBLIGATE
22,739,submit,REPORT
21,22,mandate,OBLIGATE
21,739,submit,REPORT
24,764,advance,SUPPORT
25,46,support,SUPPORT
10,767,develop,DEVELOP
10,27,mandate,OBLIGATE
10,739,require,OBLIGATE
27,767,develop,DEVELOP
16,767,develop,DEVELOP
16,27,mandate,OBLIGATE
29,769,govern,REGULATE
31,32,direct,OBLIGATE
31,158,use,USE
32,158,use,USE
37,775,establish,DEVELOP
37,762,promote,SUPPORT
38,776,increase,DEVELOP
38,777,promote,SUPPORT
33,40,mandate,OBLIGATE
33,778,use,USE
39,772,authorize,AUTHORIZE
40,778,use,USE
41,772,authorize,AUTHORIZE
43,779,establish,DEVELOP
43,764,use,USE
32,780,exempt,AUTHORIZE
44,781,establish,DEVELOP
45,739,obligate,OBLIGATE
46,782,use,USE
47,117,require,OBLIGATE
48,117,require,OBLIGATE
25,325,require,OBLIGATE
49,783,develop,DEVELOP
49,51,mandate,OBLIGATE
50,263,direct,OBLIGATE
25,783,develop,DEVELOP
25,51,mandate,OBLIGATE
51,783,develop,DEVELOP
52,263,direct,OBLIGATE
53,46,use,USE
56,590,ensure,REGULATE
56,787,facilitate,SUPPORT
56,739,require,OBLIGATE
57,46,advance,SUPPORT
57,788,assign,OBLIGATE
57,46,expand,DEVELOP
58,789,direct,OBLIGATE
59,790,appropriate,AUTHORIZE
59,791,develop,DEVELOP
60,46,involve,COORDINATE
61,22,authorize,AUTHORIZE
16,22,authorize,AUTHORIZE
64,794,appropriate,AUTHORIZE
64,795,outline,REPORT
62,69,encourage,SUPPORT
62,764,use,USE
66,69,encourage,SUPPORT
66,764,use,USE
64,69,encourage,SUPPORT
64,764,use,USE
67,797,require,OBLIGATE
68,69,encourage,SUPPORT
68,764,use,USE
69,764,use,USE
70,797,require,OBLIGATE
