source,target,verb,name,doc_id
0,1,AUTHORIZE,AUTHORIZE,1
0,2,OBLIGATE,OBLIGATE,1
0,3,OBLIGATE,OBLIGATE,1
0,4,AUTHORIZE,AUTHORIZE,1
0,5,enact,ENACT,1
0,6,USE,USE,1
0,7,enact,ENACT,1
0,8,OBLIGATE,OBLIGATE,1
0,9,OBLIGATE,OBLIGATE,1
0,10,OBLIGATE,OBLIGATE,1
1,0,AUTHORIZE,AUTHORIZE,1
1,2,AUTHORIZE,AUTHORIZE,1
1,3,include,INCLUDE,599
1,4,AUTHORIZE,AUTHORIZE,1
1,2518,OBLIGATE,OBLIGATE,378
1,2519,OBLIGATE,OBLIGATE,378
1,2520,OBLIGATE,OBLIGATE,378
1,2521,OBLIGATE,OBLIGATE,378
1,50,OBLIGATE,OBLIGATE,378
1,3355,integrate,INTEGRATE,548
1,3356,integrate,INTEGRATE,548
1,327,integrate,INTEGRATE,548
1,555,integrate,INTEGRATE,548
1,3357,integrate,INTEGRATE,548
1,379,OBLIGATE,OBLIGATE,604
1,298,include,INCLUDE,599
1,37,integrate,INTEGRATE,548
1,297,integrate,INTEGRATE,548
1,3471,DEVELOP,DEVELOP,577
1,3472,DEVELOP,DEVELOP,577
1,3473,DEVELOP,DEVELOP,577
1,418,DEVELOP,DEVELOP,577
1,644,DEVELOP,DEVELOP,577
1,291,include,INCLUDE,599
1,303,DEVELOP,DEVELOP,577
1,1713,DEVELOP,DEVELOP,577
1,3585,include,INCLUDE,599
1,328,include,INCLUDE,599
1,311,include,INCLUDE,599
1,3586,include,INCLUDE,599
1,3607,OBLIGATE,OBLIGATE,604
1,401,OBLIGATE,OBLIGATE,604
1,198,OBLIGATE,OBLIGATE,604
1,639,OBLIGATE,OBLIGATE,604
1,4888,DEVELOP,DEVELOP,907
1,4889,DEVELOP,DEVELOP,907
1,1373,DEVELOP,DEVELOP,907
1,487,DEVELOP,DEVELOP,907
1,807,DEVELOP,DEVELOP,907
2,0,OBLIGATE,OBLIGATE,1
2,1,AUTHORIZE,AUTHORIZE,1
2,3,DEVELOP,DEVELOP,902
2,4,AUTHORIZE,AUTHORIZE,1
2,8,USE,USE,767
2,9,OBLIGATE,OBLIGATE,1
2,10,OBLIGATE,OBLIGATE,1
2,61,OBLIGATE,OBLIGATE,5
2,19,emphasize,EMPHASIZE,168
2,307,form,FORM,27
2,313,SUPPORT,SUPPORT,728
2,295,OBLIGATE,OBLIGATE,795
2,255,specify,SPECIFY,569
2,314,form,FORM,27
2,315,form,FORM,27
2,236,OBLIGATE,OBLIGATE,279
2,411,OBLIGATE,OBLIGATE,37
2,199,OBLIGATE,OBLIGATE,37
2,359,OBLIGATE,OBLIGATE,37
2,360,OBLIGATE,OBLIGATE,37
2,413,OBLIGATE,OBLIGATE,37
2,503,DEVELOP,DEVELOP,49
2,63,OBLIGATE,OBLIGATE,767
2,504,DEVELOP,DEVELOP,49
2,863,provide,PROVIDE,91
2,865,provide,PROVIDE,91
2,109,oblige,OBLIGE,820
2,50,provide,PROVIDE,91
2,870,OBLIGATE,OBLIGATE,92
2,52,REGULATE,REGULATE,915
2,875,OBLIGATE,OBLIGATE,92
2,639,REGULATE,REGULATE,332
2,51,OBLIGATE,OBLIGATE,92
2,1446,emphasize,EMPHASIZE,168
2,59,SUPPORT,SUPPORT,428
2,1493,define,DEFINE,176
2,644,oblige,OBLIGE,717
2,1494,define,DEFINE,176
2,278,SUPPORT,SUPPORT,176
2,66,OBLIGATE,OBLIGATE,820
2,379,OBLIGATE,OBLIGATE,795
2,81,DEVELOP,DEVELOP,902
2,1495,SUPPORT,SUPPORT,176
2,1642,OBLIGATE,OBLIGATE,200
2,1643,OBLIGATE,OBLIGATE,200
2,1644,OBLIGATE,OBLIGATE,200
2,1649,OBLIGATE,OBLIGATE,200
2,1650,OBLIGATE,OBLIGATE,200
2,318,OBLIGATE,OBLIGATE,200
2,1660,suggest,SUGGEST,203
2,283,oblige,OBLIGE,820
2,1661,DEVELOP,DEVELOP,203
2,675,DEVELOP,DEVELOP,203
2,1662,DEVELOP,DEVELOP,203
2,1663,DEVELOP,DEVELOP,203
2,1664,suggest,SUGGEST,203
2,1666,suggest,SUGGEST,203
2,2082,OBLIGATE,OBLIGATE,279
2,320,SUPPORT,SUPPORT,714
2,1668,OBLIGATE,OBLIGATE,279
2,235,USE,USE,767
2,2083,OBLIGATE,OBLIGATE,279
2,1630,OBLIGATE,OBLIGATE,279
2,2084,OBLIGATE,OBLIGATE,279
2,2086,OBLIGATE,OBLIGATE,279
2,40,have,HAVE,738
2,2087,OBLIGATE,OBLIGATE,279
2,120,OBLIGATE,OBLIGATE,279
2,1105,OBLIGATE,OBLIGATE,279
2,195,SUPPORT,SUPPORT,279
2,1415,SUPPORT,SUPPORT,279
2,34,OBLIGATE,OBLIGATE,435
2,2088,SUPPORT,SUPPORT,279
2,13,oblige,OBLIGE,717
2,2089,OBLIGATE,OBLIGATE,279
2,53,OBLIGATE,OBLIGATE,279
2,54,OBLIGATE,OBLIGATE,279
2,2090,OBLIGATE,OBLIGATE,279
2,276,OBLIGATE,OBLIGATE,279
2,2091,OBLIGATE,OBLIGATE,279
2,2092,OBLIGATE,OBLIGATE,279
2,1032,OBLIGATE,OBLIGATE,279
2,919,OBLIGATE,OBLIGATE,279
2,21,DEVELOP,DEVELOP,902
2,2093,OBLIGATE,OBLIGATE,279
2,2322,REGULATE,REGULATE,332
2,2326,REGULATE,REGULATE,332
2,2327,REGULATE,REGULATE,332
2,1927,REGULATE,REGULATE,332
2,328,DEVELOP,DEVELOP,709
2,2095,include,INCLUDE,384
2,2554,include,INCLUDE,384
2,131,SUPPORT,SUPPORT,762
2,1543,pursue,PURSUE,384
2,2047,include,INCLUDE,384
2,1078,pursue,PURSUE,384
2,35,pursue,PURSUE,384
2,323,REGULATE,REGULATE,915
2,2555,include,INCLUDE,384
2,2557,pursue,PURSUE,384
2,2057,oblige,OBLIGE,435
2,2558,pursue,PURSUE,384
2,2559,pursue,PURSUE,384
2,177,REGULATE,REGULATE,915
2,1313,produce,PRODUCE,384
2,850,produce,PRODUCE,384
2,785,produce,PRODUCE,384
2,2567,produce,PRODUCE,384
2,1332,produce,PRODUCE,384
2,2568,produce,PRODUCE,384
2,2780,AUTHORIZE,AUTHORIZE,428
2,647,SUPPORT,SUPPORT,428
2,2788,SUPPORT,SUPPORT,428
2,2789,SUPPORT,SUPPORT,428
2,353,AUTHORIZE,AUTHORIZE,428
2,2825,OBLIGATE,OBLIGATE,435
2,2826,OBLIGATE,OBLIGATE,435
2,224,oblige,OBLIGE,717
2,466,OBLIGATE,OBLIGATE,435
2,2827,oblige,OBLIGE,435
2,570,OBLIGATE,OBLIGATE,435
