name,category,doc_id,id
Department of Commerce,ACTOR,2425,0
state and local governments,ACTOR,2425,1
Governor,ACTOR,2052,2
Congress,ACTOR,385,3
President,ACTOR,385,4
licensed professionals,ACTOR,1553,5
state board,ACTOR,1550,6
congressional defense committees,ACTOR,1757,7
Department of Defense,ACTOR,1757,8
Department of Energy,ACTOR,2402,9
NIST,ACTOR,2402,10
Department of State,ACTOR,1544,11
LEAD for Kids Standards Board,ACTOR,2415,12
NOAA,ACTOR,2407,13
OSTP,ACTOR,2417,14
Department of Labor,ACTOR,2417,15
Attorney General,ACTOR,2415,16
FTC,ACTOR,2359,17
state attorneys general,ACTOR,2359,18
Coast Guard,ACTOR,2419,19
Secretary,ACTOR,2419,20
appropriate committees,ACTOR,2414,21
AI,TECHNOLOGY,2425,22
CISA,ACTOR,2346,23
TSA,ACTOR,2346,24
FCC,ACTOR,2325,25
House,ACTOR,2325,26
Department of Agriculture,ACTOR,2325,27
Senate,ACTOR,2325,28
FDA,ACTOR,2408,29
CBP,ACTOR,2312,30
United States Cyber Command,ACTOR,2531,31
Defense Innovation Unit,ACTOR,2531,32
Test Resource Management Center,ACTOR,2531,33
autonomous military capabilities,TECHNOLOGY,2531,34
National Intelligence,ACTOR,2418,35
DoD,ACTOR,1757,36
Air Force,ACTOR,2362,37
Army,ACTOR,1750,38
Inspector General,ACTOR,1750,39
Navy,ACTOR,1750,40
Under Secretary of Defense for Research and Engineering,ACTOR,1750,41
depots,ACTOR,1751,42
shipyards,ACTOR,1751,43
Artificial Intelligence Security Center,ACTOR,1739,44
Cybersecurity Collaboration Center,ACTOR,1739,45
NSA,ACTOR,1739,46
United States Indo-Pacific Command,ACTOR,1748,47
Senate and House Armed Services Committees,ACTOR,1754,48
democratic processes,ACTOR,1379,49
General Assembly,ACTOR,389,50
New Jersey Law Against Discrimination,LEGAL_SOURCE,1816,51
Intelligence Community,ACTOR,1806,52
oversight mechanisms,OTHER,1379,53
FAA,ACTOR,838,54
air traffic controllers,ACTOR,839,55
FEC,ACTOR,447,56
Chief Information Officer,ACTOR,1054,57
Shenzhen Municipal Government,ACTOR,1064,58
NSF,ACTOR,444,59
state departments,ACTOR,1658,60
AI Council,ACTOR,1996,61
Chief AI Officer,ACTOR,2267,62
Executive Branch,ACTOR,2267,63
GSA,ACTOR,2268,64
NAIRR Steering Subcommittee,ACTOR,2393,65
penalties,OTHER,2096,66
NIH,ACTOR,2336,67
Senate and House Committees,ACTOR,2367,68
DHS,ACTOR,2346,69
terrorist organizations,ACTOR,2347,70
United States Trade Representative,ACTOR,2320,71
Department of the Treasury,ACTOR,2381,72
CDPO,ACTOR,2047,73
CIO,ACTOR,2047,74
CISO,ACTOR,2047,75
City,ACTOR,2047,76
City Digital Privacy Officer,ACTOR,2047,77
City Information Security Officer,ACTOR,2047,78
Health Care Authority,ACTOR,2245,79
Office of Administration,ACTOR,2252,80
Department of Human Resources,ACTOR,2248,81
District of Columbia,OTHER,2248,82
department of health,ACTOR,2146,83
legislative committees,ACTOR,2121,84
Office of Regulatory Management,ACTOR,2250,85
education,ACTOR,2403,86
state governments,ACTOR,2250,87
Office of Equity,ACTOR,2249,88
WaTech,ACTOR,2249,89
department of information technology,ACTOR,2210,90
Agency of Digital Services,ACTOR,2089,91
Division of Artificial Intelligence,ACTOR,2089,92
commission,ACTOR,1550,93
Department of Economic Development,ACTOR,2159,94
Department of Justice,ACTOR,2421,95
Division of Administration,ACTOR,2159,96
government branches,ACTOR,2111,97
mayor’s office of operations,ACTOR,2269,98
Department of Commerce and Economic Opportunity,ACTOR,2127,99
West Virginia House of Delegates,ACTOR,2239,100
Department of Health,ACTOR,2189,101
Legislature,ACTOR,1554,102
community-based organizations,ACTOR,2189,103
insurers,ACTOR,2125,104
language service providers,ACTOR,2189,105
Center for Cyber Education,ACTOR,2264,106
Mississippi State University,ACTOR,2264,107
State Department of Education,ACTOR,2264,108
elementary schools,ACTOR,2264,109
high schools,ACTOR,2264,110
House Committee on Energy and Technology,ACTOR,2265,111
Senate Committee on Government Operations,ACTOR,2265,112
specialty crops committee,ACTOR,660,113
AI and Data Commissioner,ACTOR,1052,114
"Minister of Innovation, Science, and Industry",ACTOR,1052,115
City Administrator’s Office,ACTOR,2021,116
IT leaders,ACTOR,2021,117
Chief Data Officer Council,ACTOR,2074,118
Ohio Department of Administrative Services,ACTOR,2074,119
AI Subcabinet,ACTOR,2062,120
Department of General Services,ACTOR,2062,121
GTA,ACTOR,2058,122
